
-----------------------------------------------
All the distinct words in descending order:
-----------------------------------------------

Word = put, 			Occurrence = 58
Word = She, 			Occurrence = 58
Word = Quidditch, 			Occurrence = 58
Word = cloak, 			Occurrence = 57
Word = Petunia, 			Occurrence = 57
Word = old, 			Occurrence = 56
Word = let, 			Occurrence = 56
Word = few, 			Occurrence = 55
Word = ever, 			Occurrence = 55
Word = open, 			Occurrence = 55
Word = must, 			Occurrence = 54
Word = inside, 			Occurrence = 54
Word = Stone, 			Occurrence = 53
Word = seen, 			Occurrence = 53
Word = find, 			Occurrence = 53
Word = Dursley, 			Occurrence = 52
Word = might, 			Occurrence = 52
Word = Aunt, 			Occurrence = 52
Word = while, 			Occurrence = 52
Word = large, 			Occurrence = 51
Word = things, 			Occurrence = 51
Word = pulled, 			Occurrence = 51
Word = So, 			Occurrence = 51
Word = front, 			Occurrence = 51
Word = feet, 			Occurrence = 51
Word = three, 			Occurrence = 51
Word = years, 			Occurrence = 50
Word = keep, 			Occurrence = 50
Word = another, 			Occurrence = 49
Word = after, 			Occurrence = 49
Word = gone, 			Occurrence = 49
Word = started, 			Occurrence = 49
Word = felt, 			Occurrence = 49
Word = Wood, 			Occurrence = 49
Word = floor, 			Occurrence = 48
Word = thing, 			Occurrence = 48
Word = All, 			Occurrence = 48
Word = Then, 			Occurrence = 48
Word = make, 			Occurrence = 48
Word = Slytherin, 			Occurrence = 48
Word = lot, 			Occurrence = 47
Word = If, 			Occurrence = 47
Word = almost, 			Occurrence = 47
Word = well, 			Occurrence = 47
Word = enough, 			Occurrence = 47
Word = end, 			Occurrence = 47
Word = air, 			Occurrence = 47
Word = moment, 			Occurrence = 47
Word = black, 			Occurrence = 47
Word = yer, 			Occurrence = 47
Word = Weasley, 			Occurrence = 47
Word = Filch, 			Occurrence = 47
Word = Mrs, 			Occurrence = 46
Word = mind, 			Occurrence = 46
Word = fell, 			Occurrence = 46
Word = walked, 			Occurrence = 46
Word = sat, 			Occurrence = 45
Word = night, 			Occurrence = 45
Word = great, 			Occurrence = 45
Word = letter, 			Occurrence = 45
Word = called, 			Occurrence = 44
Word = wanted, 			Occurrence = 44
Word = until, 			Occurrence = 44
Word = saying, 			Occurrence = 44
Word = quickly, 			Occurrence = 44
Word = How, 			Occurrence = 44
Word = dark, 			Occurrence = 44
Word = done, 			Occurrence = 44
Word = course, 			Occurrence = 44
Word = points, 			Occurrence = 44
Word = This, 			Occurrence = 43
Word = nothing, 			Occurrence = 43
Word = past, 			Occurrence = 43
Word = later, 			Occurrence = 43
Word = bed, 			Occurrence = 43
Word = already, 			Occurrence = 43
Word = Dursleys, 			Occurrence = 42
